dict_code,dict_name,item_value,item_name,sort
bpm-audit-status,bpm审批状态,0,待提交,0
bpm-audit-status,bpm审批状态,1,审批中,1
bpm-audit-status,bpm审批状态,2,已完成,2
bpm-audit-status,bpm审批状态,3,已驳回,3
bpm-audit-status,bpm审批状态,4,已撤回,4
bpm-audit-status,bpm审批状态,2,已发放,2
bpm-audit-status,bpm审批状态,5,人工结束,5
C_GO_aixmqk0j8g,销售单位,C_GOI_cbgonvwc7h,件,0
C_GO_b00oy194er,客户来源,1,线索流转,0
C_GO_b00oy194er,客户来源,2,市局系统,1
C_GO_b00oy194er,客户来源,3,手动创建,2
C_GO_basnxay7jm,清单项线索来源,1,局领导交办,1
C_GO_basnxay7jm,清单项线索来源,2,省里转办,2
C_GO_basnxay7jm,清单项线索来源,3,省市重大活动对接,3
C_GO_basnxay7jm,清单项线索来源,4,部门,4
C_GO_basnxay7jm,清单项线索来源,5,区县,5
C_GO_basnxay7jm,清单项线索来源,6,商协会,6
C_GO_basnxay7jm,清单项线索来源,7,中介公司,7
C_GO_basnxay7jm,清单项线索来源,8,大院大所,8
C_GO_basnxay7jm,清单项线索来源,9,系统推送,9
C_GO_basnxay7jm,清单项线索来源,10,平台公司,10
C_GO_basnxay7jm,清单项线索来源,11,市领导交办,0
C_GO_basnxay7jm,清单项线索来源,13,合肥市投资促进有限公司,12
C_GO_basnxay7jm,清单项线索来源,99,其他,11
C_GO_bl9kwqk2au,成员状态,C_GOI_hcz7arob5d,已邀请,0
C_GO_bl9kwqk2au,成员状态,C_GOI_dfmfxsyej0,已回复,1
C_GO_bl9kwqk2au,成员状态,C_GOI_mc9jhakv1f,已报名,2
C_GO_bl9kwqk2au,成员状态,C_GOI_t742wxgqt2,已签到,3
C_GO_bl9kwqk2au,成员状态,C_GOI_o2sow7dxqn,已留资,4
C_GO_c0rr1phh9e,产品类型,C_GOI_l239z3mz6z,产品,0
C_GO_c0rr1phh9e,产品类型,C_GOI_l31t1uwav7,虚拟服务,1
C_GO_c59r9pk6yi,企业类型,1,世界500强,0
C_GO_c59r9pk6yi,企业类型,2,中国500强,1
C_GO_c59r9pk6yi,企业类型,3,央企,2
C_GO_c59r9pk6yi,企业类型,4,上市公司,3
C_GO_c59r9pk6yi,企业类型,5,国家专精特新小巨人,4
C_GO_c59r9pk6yi,企业类型,6,高新技术企业,6
C_GO_c59r9pk6yi,企业类型,7,独角兽,7
C_GO_c59r9pk6yi,企业类型,8,瞪羚企业,8
C_GO_c59r9pk6yi,企业类型,9,中国零售50强,9
C_GO_c59r9pk6yi,企业类型,10,省级专精特新中小企业,5
C_GO_c59r9pk6yi,企业类型,99,其他,10
C_GO_contract status,生效类型,C_GOI_e4ikyxkpu2,未生效,0
C_GO_contract status,生效类型,C_GOI_i81nws1b69,已生效,1
C_GO_dhv4pe23l1,国家地区,C_GOI_pvw3ptz6vy,中国,0
C_GO_dhv4pe23l1,国家地区,C_GOI_imst2mt58u,江苏,0
C_GO_dhv4pe23l1,国家地区,C_GOI_ehxn64j9vd,上海,1
C_GO_dhv4pe23l1,国家地区,C_GOI_jo4qutavb3,北京,2
C_GO_dhv4pe23l1,国家地区,C_GOI_je9jxdvn80,广东,3
C_GO_dhv4pe23l1,国家地区,C_GOI_lye77rvw23,深圳,4
C_GO_dhv4pe23l1,国家地区,C_GOI_lp9zs87stf,欧洲,1
C_GO_dhv4pe23l1,国家地区,C_GOI_uhdscdy0d4,英国,0
C_GO_dhv4pe23l1,国家地区,C_GOI_wwqywd2mla,瑞士,1
C_GO_dhv4pe23l1,国家地区,C_GOI_yysgk8dlya,德国,2
C_GO_dhv4pe23l1,国家地区,C_GOI_cseq1yq8gt,西班牙,3
C_GO_h9vfwu6nlu,分发渠道,C_GOI_tzgib3gpfb,抖音,0
C_GO_h9vfwu6nlu,分发渠道,C_GOI_ye7xm2elfk,facebook,1
C_GO_h9vfwu6nlu,分发渠道,C_GOI_oq0oomk4ug,默认渠道,2
C_GO_h9vfwu6nlu,分发渠道,C_GOI_iau8uuao11,Youtube,3
C_GO_hmqf23r4hm,活动类型,C_GOI_xvfusggibz,展会,0
C_GO_hmqf23r4hm,活动类型,C_GOI_acsbmca7f9,培训,1
C_GO_hmqf23r4hm,活动类型,C_GOI_iykib9b88s,发布会,2
C_GO_hmqf23r4hm,活动类型,C_GOI_whznis26wg,路演,3
C_GO_hmqf23r4hm,活动类型,C_GOI_fnez3b7swp,Open Day,4
C_GO_hmqf23r4hm,活动类型,C_GOI_inyb5xj1e1,广告投放,5
C_GO_hmqf23r4hm,活动类型,C_GOI_c6pr7jmk3v,KoL,6
C_GO_hmqf23r4hm,活动类型,C_GOI_f0arc8gmv8,媒体广告,7
C_GO_i7r3gju4nu,市场活动成员类型,C_GOI_q9ylx1zp65,线索,0
C_GO_i7r3gju4nu,市场活动成员类型,C_GOI_v7lgzo2925,联系人,1
C_GO_invoice_type,发票类型,C_GOI_w63ort3v75,增值税专用发票,0
C_GO_invoice_type,发票类型,C_GOI_bzupn3s9i9,增值税普通发票,1
C_GO_k2zwjw10tp,业态,C_GOI_pvr7t2hu7l,购物中心,0
C_GO_k2zwjw10tp,业态,C_GOI_vc8kj1kz32,超市,1
C_GO_k2zwjw10tp,业态,C_GOI_m7kxw1p5mh,食品,2
C_GO_k2zwjw10tp,业态,C_GOI_yur2muvd3p,医药,3
C_GO_k2zwjw10tp,业态,C_GOI_vnhwwo5zie,农业,4
C_GO_k2zwjw10tp,业态,C_GOI_msb8kbh7ij,餐饮,5
C_GO_k2zwjw10tp,业态,C_GOI_bdjlir4w12,酒店,6
C_GO_k2zwjw10tp,业态,C_GOI_j9pd8cs7bz,便利店,7
C_GO_k2zwjw10tp,业态,C_GOI_m5puc2qgb4,休闲娱乐,8
C_GO_k2zwjw10tp,业态,C_GOI_fwizabd29g,百货,9
C_GO_k2zwjw10tp,业态,C_GOI_pw32f6onx0,快印,10
C_GO_k2zwjw10tp,业态,C_GOI_dlktg0djzv,旅游,11
C_GO_k2zwjw10tp,业态,C_GOI_kks14r3s71,数码通信,12
C_GO_k2zwjw10tp,业态,C_GOI_nxqir0te5x,互联网,13
C_GO_k2zwjw10tp,业态,C_GOI_xn5grjin5f,汽车维护保养,14
C_GO_k2zwjw10tp,业态,C_GOI_tr9u1fzks9,服装,15
C_GO_k2zwjw10tp,业态,C_GOI_rwn6nq4ife,教育,16
C_GO_k2zwjw10tp,业态,C_GOI_mpaj84ofhs,健身,17
C_GO_k2zwjw10tp,业态,C_GOI_o2h9mymaqt,书店,18
C_GO_k2zwjw10tp,业态,C_GOI_n0tejolp8r,化妆品,19
C_GO_k2zwjw10tp,业态,C_GOI_f1fj2nyrdr,家居,20
C_GO_k2zwjw10tp,业态,C_GOI_m09c0urj76,母婴,21
C_GO_k2zwjw10tp,业态,C_GOI_pqea15augv,珠宝,22
C_GO_k2zwjw10tp,业态,C_GOI_uj79ndixvg,文具,23
C_GO_k2zwjw10tp,业态,C_GOI_zl5zxtlsog,美容,24
C_GO_k2zwjw10tp,业态,C_GOI_wche82wccl,乐园,25
C_GO_k2zwjw10tp,业态,C_GOI_p97jsnaaxn,电器,26
C_GO_k2zwjw10tp,业态,C_GOI_elmck9tw80,干洗店,27
C_GO_k2zwjw10tp,业态,C_GOI_cmr3sy301c,机场商业,28
C_GO_k2zwjw10tp,业态,C_GOI_f69cjc901f,物流,29
C_GO_k2zwjw10tp,业态,C_GOI_mf4ofv17ro,影院,30
C_GO_k2zwjw10tp,业态,C_GOI_mgc9myilbz,综合,31
C_GO_k2zwjw10tp,业态,C_GOI_lv237m7886,其他,32
C_GO_mfrbnnvnsq,举办方式,C_GOI_eal2okwncv,线下,0
C_GO_mfrbnnvnsq,举办方式,C_GOI_iv1r78qwwi,线上,1
C_GO_n2m30yjggo,合同状态,C_GOI_zb01v15wtf,未生效,0
C_GO_n2m30yjggo,合同状态,C_GOI_q856n4nsut,已生效,1
C_GO_n2m30yjggo,合同状态,C_GOI_y7ycm4v6tw,已作废,2
C_GO_pam3agrdw7,行业,1,工业,0
C_GO_pam3agrdw7,行业,2,农业,1
C_GO_pam3agrdw7,行业,3,生产性服务业,2
C_GO_pam3agrdw7,行业,4,生活性服务业,3
C_GO_pam3agrdw7,行业,2,农业,0
C_GO_pam3agrdw7,行业,3,生产性服务业,1
C_GO_pam3agrdw7,行业,4,生活性服务业,2
C_GO_pam3agrdw7,行业,5,工业-制造业,3
C_GO_pam3agrdw7,行业,6,工业-非制造业,4
C_GO_payment,支付方式,C_GOI_alipay,支付宝,0
C_GO_payment,支付方式,C_GOI_wechat,微信,1
C_GO_rfw1awze5d,人员规模,C_GOI_zy2ljv0axx,10人以内,0
C_GO_rfw1awze5d,人员规模,C_GOI_yz2178r5ah,10-50,1
C_GO_rfw1awze5d,人员规模,C_GOI_s0bh69o2l3,50-100,3
C_GO_rfw1awze5d,人员规模,C_GOI_b8h7035emm,100-500,4
C_GO_rfw1awze5d,人员规模,C_GOI_hw1h9y776q,500-1000,5
C_GO_rfw1awze5d,人员规模,C_GOI_rl1vi9nu8t,1000-5000,6
C_GO_rfw1awze5d,人员规模,C_GOI_ivv8fr0iu4,5000-10000,7
C_GO_rfw1awze5d,人员规模,C_GOI_vjnnmx93yw,10000以上,8
C_GO_rfw1awze5d,人员规模,小于50人,小于50人,2
C_GO_rowcq041pl,邀请结果,C_GOI_by5wo89qvc,确认参加,0
C_GO_rowcq041pl,邀请结果,C_GOI_ofbobwzfwq,无法参加,1
C_GO_rowcq041pl,邀请结果,C_GOI_zhy7dlq8qo,待定,2
C_GO_yaz85n6xn8,所在区域,C_GOI_ew7ngsk6dh,华东,0
C_GO_yaz85n6xn8,所在区域,C_GOI_em6lw0lmki,华南,1
C_GO_yaz85n6xn8,所在区域,C_GOI_ude8gc3x8z,华北,2
C_GO_yaz85n6xn8,所在区域,C_GOI_hkvasaxy8t,华中,3
C_GO_yaz85n6xn8,所在区域,C_GOI_q238zn99cx,西南,4
C_GO_yaz85n6xn8,所在区域,C_GOI_o9quixf41v,东北,5
C_GO_yaz85n6xn8,所在区域,C_GOI_wsf1cf233x,全国,6
C_GO_yaz85n6xn8,所在区域,C_GOI_mlcs8xfsnq,西北,7
GO__reason_termination,终止原因,GOI_1,经研判不符合规划,0
GO__reason_termination,终止原因,GOI_2,重复项目,1
GO__reason_termination,终止原因,GOI_3,已有在谈或签约项目,2
GO_activity_role,活动相关方角色定位,GOI_main,主办单位,0
GO_activity_role,活动相关方角色定位,GOI_co_org,协办单位,1
GO_activity_role,活动相关方角色定位,GOI_contractor,承办单位,2
GO_activity_role,活动相关方角色定位,GOI_support,支持单位,3
GO_activity_role,活动相关方角色定位,GOI_guidance,指导单位,4
GO_activity_role,活动相关方角色定位,GOI_sponsor,赞助单位,5
GO_bd8p5ufzut,任务事项,0,其他,0
GO_bd8p5ufzut,任务事项,1,线索研判,1
GO_bd8p5ufzut,任务事项,2,专项研判,2
GO_bd8p5ufzut,任务事项,3,项目接待,3
GO_belong_industry,所属行业,1,新能源汽车,0
GO_belong_industry,所属行业,2,新一代信息技术,1
GO_belong_industry,所属行业,3,先进光伏及新型储能,2
GO_belong_industry,所属行业,4,生物医药,3
GO_belong_industry,所属行业,5,智能家电（居）,4
GO_belong_industry,所属行业,6,高端装备及新材料,5
GO_belong_industry,所属行业,7,量子信息,6
GO_belong_industry,所属行业,8,空天技术,7
GO_belong_industry,所属行业,9,聚变能源,8
GO_belong_industry,所属行业,10,下一代人工智能,9
GO_belong_industry,所属行业,11,合成生物,10
GO_belong_industry,所属行业,12,低空经济,11
GO_belong_industry,所属行业,13,生物制造,12
GO_belong_industry,所属行业,14,新型显示,13
GO_belong_industry,所属行业,1,新能源及智能网联汽车,0
GO_belong_industry,所属行业,2,新一代信息技术-集成电路,1
GO_belong_industry,所属行业,3,新一代信息技术-智能机器人,2
GO_belong_industry,所属行业,5,新一代信息技术-新型显示,3
GO_belong_industry,所属行业,6,新一代信息技术-智能城市,4
GO_belong_industry,所属行业,8,智能家电（居）,7
GO_belong_industry,所属行业,9,先进光伏及新型储能,8
GO_belong_industry,所属行业,10,生物医药,9
GO_belong_industry,所属行业,11,高端装备及新材料-新材料,10
GO_belong_industry,所属行业,12,高端装备及新材料-高端装备,11
GO_belong_industry,所属行业,35,新一代信息技术-数字经济,5
GO_belong_industry,所属行业,37,新一代信息技术-人工智能,6
GO_belong_industry,所属行业,36,节能环保与新能源（除光储）,12
GO_belong_industry,所属行业,14,量子信息与仪器,13
GO_belong_industry,所属行业,15,空天技术-空天信息与商业航天,14
GO_belong_industry,所属行业,16,空天技术-低空经济,15
GO_belong_industry,所属行业,17,聚变能源,16
GO_belong_industry,所属行业,19,生物制造,17
GO_belong_industry,所属行业,21,绿色食品及现代种业（现代农业和农产品加工）,18
GO_belong_industry,所属行业,38,文旅商贸和生活性服务业,19
GO_belong_industry,所属行业,39,生产性服务业,20
GO_belong_industry,所属行业,33,现代法务服务业,21
GO_belong_industry,所属行业,34,其他,22
GO_bmmogspz34,投资机构级别,10,A,0
GO_bmmogspz34,投资机构级别,20,A-,1
GO_bmmogspz34,投资机构级别,30,B,2
GO_bmmogspz34,投资机构级别,40,C,3
GO_bve2e8j1rh,线索来源,1,市局线索,0
GO_bve2e8j1rh,线索来源,2,投促公司线索,1
GO_bve2e8j1rh,线索来源,3,外部机构线索,2
GO_bve2e8j1rh,线索来源,4,并购线索,3
GO_calc_score_type,计算分值方式,1,动态（可重复获取，事件触发立即计算分值）,0
GO_calc_score_type,计算分值方式,2,静态（不可重复获取，基于最终结果计算分值）,1
GO_carrier_type,载体类型,ST_ghwvcdvvh6,产业园区,0
GO_carrier_type,载体类型,ST_dfbygq4ylz,地块资源,1
GO_carrier_type,载体类型,ST_h3398I41ar,楼宇资源,2
GO_carrier_type,载体类型,ST_v9uwjyxkkd,厂房资源,3
GO_cooperate_partner_type,合作伙伴类型,BTE_company,企业,0
GO_cooperate_partner_type,合作伙伴类型,BTE_invest,投资机构,1
GO_cooperate_partner_type,合作伙伴类型,BTE_finance,金融机构,2
GO_cooperate_partner_type,合作伙伴类型,BTE_think_tank,新研机构,3
GO_cooperate_partner_type,合作伙伴类型,BTE_expert,专家库,4
GO_cooperate_partner_type,合作伙伴类型,BTE_scenario,场景,5
GO_cooperate_partner_type,合作伙伴类型,BTE_company,上市公司,0
GO_drdc_status,导入导出状态,GOI_drdc_fail,执行失败,4
GO_drdc_status,导入导出状态,GOI_drdc_success,执行成功,3
GO_drdc_status,导入导出状态,GOI_drdc_part,部分成功,2
GO_drdc_status,导入导出状态,GOI_drdc_in,进行中,1
GO_drdc_status,导入导出状态,GOI_drdc_no,未开始,0
GO_eejf545u6n,进度,1,对接,0
GO_eejf545u6n,进度,2,立项,1
GO_eejf545u6n,进度,3,尽调,2
GO_eejf545u6n,进度,4,投决,3
GO_eejf545u6n,进度,5,交割,4
GO_ei0goe8t06,研判意见,1,重点推进,0
GO_ei0goe8t06,研判意见,2,进一步推进,1
GO_ei0goe8t06,研判意见,3,保持推进,2
GO_ei0goe8t06,研判意见,4,不推进,3
GO_expert_level,专家级别,GOI_qw5qywwz84,首席,0
GO_expert_level,专家级别,GOI_v0bv3ojz7l,一般,1
GO_expert_source,专家信息来源,GOI_mr1n4tnjcn,省发改委,0
GO_expert_source,专家信息来源,GOI_vqklsfhxfj,市科技局,1
GO_expert_type,专家类型,GOI_bwd96peuoh,管理类,0
GO_expert_type,专家类型,GOI_iu41xjigro,财务金融类,1
GO_expert_type,专家类型,GOI_fxdxqwscan,技术类,2
GO_eyls9msrcg,待办紧急程度,GOI_urgent,紧急,0
GO_eyls9msrcg,待办紧急程度,GOI_not_urgent,不紧急,1
GO_f6dydhisa5,并购买方企业类型,GOI_zqyzfv4y6s,省属国企,0
GO_f6dydhisa5,并购买方企业类型,GOI_j17nvi2gi0,市属国企,1
GO_f6dydhisa5,并购买方企业类型,GOI_foyqrkishz,区属国企,2
GO_f6dydhisa5,并购买方企业类型,GOI_av4bfzjzfi,市场化机构,3
GO_f6dydhisa5,并购买方企业类型,GOI_tod6covsxx,民营企业,4
GO_f6dydhisa5,并购买方企业类型,GOI_zo0g3qbunt,其他,5
GO_f6pl998g8w,投资方来源地,GOI_x1z5m3t37b,北京市-北京市,0
GO_f6pl998g8w,投资方来源地,GOI_nn0no0dzr4,天津市-天津市,1
GO_f6pl998g8w,投资方来源地,GOI_ayip5by0dq,河北省-石家庄市,2
GO_f6pl998g8w,投资方来源地,GOI_d94377w63o,河北省-唐山市,3
GO_f6pl998g8w,投资方来源地,GOI_vt9zep3lkt,河北省-秦皇岛市,4
GO_f6pl998g8w,投资方来源地,GOI_mv5nyvi3cq,河北省-邯郸市,5
GO_f6pl998g8w,投资方来源地,GOI_e7lb0p8568,河北省-邢台市,6
GO_f6pl998g8w,投资方来源地,GOI_dx4pkxc1fa,河北省-保定市,7
GO_f6pl998g8w,投资方来源地,GOI_r7qr6p4p21,河北省-张家口市,8
GO_f6pl998g8w,投资方来源地,GOI_yl2xnvjfwp,河北省-承德市,9
GO_f6pl998g8w,投资方来源地,GOI_jwdc9o7liw,河北省-沧州市,10
GO_f6pl998g8w,投资方来源地,GOI_hfq9s813t3,河北省-廊坊市,11
GO_f6pl998g8w,投资方来源地,GOI_omvlumx4pn,河北省-衡水市,12
GO_f6pl998g8w,投资方来源地,GOI_v4ty48e4ao,山西省-太原市,13
GO_f6pl998g8w,投资方来源地,GOI_iez491x5j7,山西省-大同市,14
GO_f6pl998g8w,投资方来源地,GOI_fybsbmysz2,山西省-阳泉市,15
GO_f6pl998g8w,投资方来源地,GOI_ihqcox3lm2,山西省-长治市,16
GO_f6pl998g8w,投资方来源地,GOI_uku8467vhy,山西省-晋城市,17
GO_f6pl998g8w,投资方来源地,GOI_i6i9wg34d1,山西省-朔州市,18
GO_f6pl998g8w,投资方来源地,GOI_tea8q4z3f7,山西省-晋中市,19
GO_f6pl998g8w,投资方来源地,GOI_h23hbbflal,山西省-运城市,20
GO_f6pl998g8w,投资方来源地,GOI_yhma42wgq4,山西省-忻州市,21
GO_f6pl998g8w,投资方来源地,GOI_oveveufc26,山西省-临汾市,22
GO_f6pl998g8w,投资方来源地,GOI_wcoxjgmngb,山西省-吕梁市,23
GO_f6pl998g8w,投资方来源地,GOI_twhp9yhxl7,内蒙古自治区-呼和浩特市,24
GO_f6pl998g8w,投资方来源地,GOI_j85t8dtrlj,内蒙古自治区-包头市,25
GO_f6pl998g8w,投资方来源地,GOI_jbjemjwp6a,内蒙古自治区-乌海市,26
GO_f6pl998g8w,投资方来源地,GOI_anjd3pmbai,内蒙古自治区-赤峰市,27
GO_f6pl998g8w,投资方来源地,GOI_pmgland69j,内蒙古自治区-通辽市,28
GO_f6pl998g8w,投资方来源地,GOI_mr3jpdnxtb,内蒙古自治区-鄂尔多斯市,29
GO_f6pl998g8w,投资方来源地,GOI_dlwk56wv1q,内蒙古自治区-呼伦贝尔市,30
GO_f6pl998g8w,投资方来源地,GOI_xoaiavuhi8,内蒙古自治区-巴彦淖尔市,31
GO_f6pl998g8w,投资方来源地,GOI_glk4yd4q2p,内蒙古自治区-乌兰察布市,32
GO_f6pl998g8w,投资方来源地,GOI_u94f3v6xas,内蒙古自治区-兴安盟,33
GO_f6pl998g8w,投资方来源地,GOI_h80srlycno,内蒙古自治区-锡林郭勒盟,34
GO_f6pl998g8w,投资方来源地,GOI_bll11g9x6y,内蒙古自治区-阿拉善盟,35
GO_f6pl998g8w,投资方来源地,GOI_x5cwv5uib9,辽宁省-沈阳市,36
GO_f6pl998g8w,投资方来源地,GOI_fonmkq3qcu,辽宁省-大连市,37
GO_f6pl998g8w,投资方来源地,GOI_abqv6ros1f,辽宁省-鞍山市,38
GO_f6pl998g8w,投资方来源地,GOI_zqbt22pjkz,辽宁省-抚顺市,39
GO_f6pl998g8w,投资方来源地,GOI_x4mjqvrgw4,辽宁省-本溪市,40
GO_f6pl998g8w,投资方来源地,GOI_t27i0vp7z3,辽宁省-丹东市,41
GO_f6pl998g8w,投资方来源地,GOI_clergj1tcj,辽宁省-锦州市,42
GO_f6pl998g8w,投资方来源地,GOI_cjoohfftoc,辽宁省-营口市,43
GO_f6pl998g8w,投资方来源地,GOI_snau3103es,辽宁省-阜新市,44
GO_f6pl998g8w,投资方来源地,GOI_kq9wq55llx,辽宁省-辽阳市,45
GO_f6pl998g8w,投资方来源地,GOI_vmuctqgnu4,辽宁省-盘锦市,46
GO_f6pl998g8w,投资方来源地,GOI_jnrud7ifut,辽宁省-铁岭市,47
GO_f6pl998g8w,投资方来源地,GOI_qbpdjrwzag,辽宁省-朝阳市,48
GO_f6pl998g8w,投资方来源地,GOI_f537jxh5aa,辽宁省-葫芦岛市,49
GO_f6pl998g8w,投资方来源地,GOI_ghilyx9y4v,吉林省-长春市,50
GO_f6pl998g8w,投资方来源地,GOI_ftk6rdqt84,吉林省-吉林市,51
GO_f6pl998g8w,投资方来源地,GOI_i5qex6jwdh,吉林省-四平市,52
GO_f6pl998g8w,投资方来源地,GOI_jyvxq5y1zp,吉林省-辽源市,53
GO_f6pl998g8w,投资方来源地,GOI_dqwhy1sa2d,吉林省-通化市,54
